what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1299536816037
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299536816294
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299536859199
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299536874737
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1299536878041
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1299536878872
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1299536878896
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1299536878911
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1299536902519
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1299536902645
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1299536902647
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299536988454
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299536988510
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537054939
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537097690
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537287335
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537313256
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537317665
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537317850
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537329119
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299537346510
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1299537357341
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1299537357614
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1299537357673
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1299537357932
