what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129082671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129082781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129084546
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275129088718
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275129088937
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275129092187
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275129092593
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275129092703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129126765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129167812
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1275129183531
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275129183906
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1275129195812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129207546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275129249484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275129258109
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1275129260015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1275129261203
