what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1276206617078
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1276206617093
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1276206617093
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1276206617093
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1276206617093
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1276206617093
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1276206617109
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1276206617109
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1276206617109
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1276206617109
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1276206617109
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1276206617109
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1276206617109
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1276206617109
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1276206617109
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1276206617109
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1276206617109
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1276206617109
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1276206617109
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1276206617109
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1276206617109
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1276206617109
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1276206617125
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1276206617125
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1276206617125
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1276206617125
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1276206617125
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1276206617125
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1276206617125
os,sysinfo,,,"win32",1276206617125
arch,sysinfo,,,"x86",1276206617125
ws,sysinfo,,,"win32",1276206617125
locale,sysinfo,,,"bg_BG",1276206617125
processors,sysinfo,,,"2",1276206617125
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276206617125
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276206617125
java.specification.name,sysinfo,,,"Java Platform API Specification",1276206617125
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276206617125
java.specification.version,sysinfo,,,"1.6",1276206617125
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276206617125
java.version,sysinfo,,,"1.6.0_20",1276206617125
java.vm.info,sysinfo,,,"mixed mode, sharing",1276206617125
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1276206617125
